action	status	source	destination	details
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase4_structural_cleanup_20260609_164006	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase4_structural_cleanup_20260609_164006.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase4_structural_cleanup_20260609_164006	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase4_structural_cleanup_20260609_164006.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase5_deep_cleanup_20260609_164619	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase5_deep_cleanup_20260609_164619.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase5_deep_cleanup_20260609_164619	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase5_deep_cleanup_20260609_164619.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase6_fast_cleanup_20260609_165203	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase6_fast_cleanup_20260609_165203.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase6_fast_cleanup_20260609_165203	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase6_fast_cleanup_20260609_165203.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase6b_fc_noarg_20260609_165651	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase6b_fc_noarg_20260609_165651.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase6b_fc_noarg_20260609_165651	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase6b_fc_noarg_20260609_165651.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase7_final_polish_20260609_165928.zip	
ZIP_BACKUP_FOLDER	ZIP_OK_REMOVE_FAILED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase7_final_polish_20260609_165928.zip	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\phase7_action_log.tsv could not be removed.
D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\phase7_action_log.tsv could not be removed.

ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7b_repair_20260609_170102	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase7b_repair_20260609_170102.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7b_repair_20260609_170102	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase7b_repair_20260609_170102.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase8_lean_cleanup_20260609_174323	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase8_lean_cleanup_20260609_174323.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase8_lean_cleanup_20260609_174323	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase8_lean_cleanup_20260609_174323.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_safe_hotfix_20260609_152935	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_safe_hotfix_20260609_152935.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_safe_hotfix_20260609_152935	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_safe_hotfix_20260609_152935.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_stepmotor_fc_helper_repair_20260609_173757	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_stepmotor_fc_helper_repair_20260609_173757.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_stepmotor_fc_helper_repair_20260609_173757	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_stepmotor_fc_helper_repair_20260609_173757.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\repair_after_broken_cleanup_20260609_151150	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\repair_after_broken_cleanup_20260609_151150.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\repair_after_broken_cleanup_20260609_151150	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\repair_after_broken_cleanup_20260609_151150.zip	
SUMMARY	DONE			active_m_files=76
